feature,contrast,t.score,p.value,FDR,logFC,Rank
HILIC_85.0283982538506_49.3627576283521,RT_vs_Ice,0.6653512331367971,0.5089543437968547,0.9969365741869346,0.1766512408131515,1
C18_85.0295202700189_24.9083669970474,RT_vs_Ice,0.661711921122714,0.5112643520708705,0.9969365741869346,0.1280117838414362,2
C18_86.024815548073_91.1307346956081,RT_vs_Ice,0.5040980707353909,0.616457888028712,0.9969365741869346,0.13099488609055462,3
HILIC_86.0600096990791_86.0350252624882,RT_vs_Ice,0.6276836171951098,0.5331336639547781,0.9969365741869346,0.31787400137542143,4
C18_86.0613043752015_224.881254838764,RT_vs_Ice,1.0674321715821726,0.2910220846151283,0.9969365741869346,0.7519195549213028,5
HILIC_86.0963934260348_48.2367933565866,RT_vs_Ice,0.21832269760773546,0.8280869230313133,0.9999999999999998,0.03297093923341336,6
C18_87.008748837038_24.060863492984,RT_vs_Ice,0.7409597659495617,0.4622638229710775,0.9969365741869346,0.14855332428127105,7
HILIC_87.0440664180162_292.996531918628,RT_vs_Ice,0.0850996600814842,0.932529877471401,0.9999999999999998,0.038911405613741484,8
C18_87.0451523923482_30.0180498985361,RT_vs_Ice,0.8021726066295007,0.4263372416421852,0.9969365741869346,0.194475601587941,9
C18_88.0040397353644_197.6190619694,RT_vs_Ice,-1.3295179989304013,0.18985076053262542,0.9911398709670876,-0.252330733471337,10
HILIC_88.0757072390906_85.9085842624815,RT_vs_Ice,0.756497572244914,0.4529829123391159,0.9969365741869346,0.2550581807597779,11
C18_88.9880435666205_31.5445860260535,RT_vs_Ice,0.21143874408596686,0.8334243082408112,0.9999999999999998,0.05454405425564885,12
C18_89.024436719819_25.6010465145833,RT_vs_Ice,1.1249033334036667,0.26612528182193834,0.9969365741869346,0.27455740082323665,13
HILIC_89.0596264645825_22.182014269977,RT_vs_Ice,0.4041930443110336,0.6878344390786799,0.9969365741869346,0.07133491836522583,14
HILIC_89.0596890957605_283.755391345988,RT_vs_Ice,-1.1765073614499753,0.24509181936961674,0.9969365741869346,-0.49672698939848164,15
HILIC_90.0549694518151_70.3351130353514,RT_vs_Ice,0.6919600656057772,0.4922374167868745,0.9969365741869346,0.1679841967088156,16
HILIC_90.091345511095_109.269081368148,RT_vs_Ice,-0.3391515850024817,0.735948786950811,0.9976445116039421,-0.11051128446010539,17
HILIC_90.9766483380363_75.6578333907158,RT_vs_Ice,-1.2101736777218204,0.23203387478307283,0.9969365741869346,-0.30075400078020265,18
HILIC_91.0542144056091_58.2309647900585,RT_vs_Ice,-0.6459341751171148,0.5213440134094711,0.9969365741869346,-0.12030508063269557,19
C18_93.0013408568376_201.641971521924,RT_vs_Ice,0.1748975138635901,0.8618828425057483,0.9999999999999998,0.06291837725855151,20
HILIC_93.0698645556002_27.3654063890941,RT_vs_Ice,0.55892277716096606,0.5787670379034049,0.9969365741869346,0.2491158069918678,21
HILIC_94.0651034098533_47.8933859649306,RT_vs_Ice,0.9457455120964032,0.3489317174803288,0.9969365741869346,0.39517318672848617,22
HILIC_95.0127230754417_83.9406464482971,RT_vs_Ice,0.24520937013480112,0.8073212290235674,0.9999999999999998,0.10498325047719038,23
HILIC_95.0491192416874_58.5299210585591,RT_vs_Ice,-0.544859280323627,0.5883285286523698,0.9969365741869346,-0.08469536601687436,24
HILIC_95.0603688006595_90.2814948109762,RT_vs_Ice,1.0800212677262557,0.28543467365887665,0.9969365741869346,0.6850450517557384,25
C18_96.009155829472_288.384359236239,RT_vs_Ice,-1.538784731216432,0.13030789437057091,0.9728307619644055,-0.20946258089465003,26
HILIC_96.0443422140013_91.0424473405088,RT_vs_Ice,-0.46771506267112806,0.6420676673965189,0.9969365741869346,-0.2588354155356928,27
HILIC_96.0443794632954_295.298713225741,RT_vs_Ice,1.2333787066977755,0.22333465822964696,0.9969365741869346,0.6810553921993324,28
HILIC_96.0783251826654_62.4211034509356,RT_vs_Ice,9.214262469377142e-4,0.9992685598094873,0.9999999999999998,3.7810195515733424e-4,29
C18_96.9600964099754_21.3293463366528,RT_vs_Ice,-1.1245874947393286,0.2662578460994855,0.9969365741869346,-0.2724080209379879,30
HILIC_97.028437883201_283.560593478667,RT_vs_Ice,0.7494285959509238,0.4571917859015352,0.9969365741869346,0.2276018680830518,31
HILIC_97.0284505045918_207.520258224008,RT_vs_Ice,0.09523525720918527,0.9245174457864568,0.9999999999999998,0.06875005970187886,32
HILIC_97.0647803017479_28.645171260103,RT_vs_Ice,-0.1459559507393767,0.8845566116586108,0.9999999999999998,-0.07116765015210912,33
C18_98.024786617981_280.631995336326,RT_vs_Ice,1.669623114374114,0.10138892437981849,0.9728307619644055,0.6690837469282198,34
C18_99.0064038538411_60.9043017099213,RT_vs_Ice,-0.22812957038151732,0.8204974621252068,0.9999999999999998,-0.07242188887913227,35
HILIC_99.0440388734844_284.158258638304,RT_vs_Ice,2.853607818002495,0.006322673776870103,0.7997091217909638,0.8508832080093467,36
HILIC_99.0804027009205_21.0183777854517,RT_vs_Ice,-0.0033522592837764856,0.9973389374949895,0.9999999999999998,-0.0014211571918383847,37
HILIC_99.0804225924887_285.945244893565,RT_vs_Ice,0.3596160004036027,0.7206838416829846,0.9976445116039421,0.1043799885822298,38
HILIC_100.039283165247_287.455483398222,RT_vs_Ice,1.7754220271679741,0.08205625898963914,0.9728307619644055,0.7290949948646802,39
HILIC_100.075634567049_36.2333927470486,RT_vs_Ice,-1.019277492443889,0.31309136861454107,0.9969365741869346,-0.4558086979483894,40
HILIC_100.11202817965_36.3467633079489,RT_vs_Ice,-0.06088038122587702,0.9517027979268189,0.9999999999999998,-0.06754604796577648,41
C18_101.024404810673_26.5472072496011,RT_vs_Ice,1.1301967015070733,0.26391050926710347,0.9969365741869346,0.1946413518260329,42
HILIC_101.059721940168_294.491520331747,RT_vs_Ice,-0.5138403126935515,0.6096795303185341,0.9969365741869346,-0.21439078805208428,43
HILIC_101.059712915613_95.9247687966243,RT_vs_Ice,-0.6392508885851883,0.5256452351857384,0.9969365741869346,-0.2438112739670422,44
C18_101.060771783514_33.2974601878257,RT_vs_Ice,-0.28932782711120786,0.7735545616417753,0.9999999999999998,-0.1415394810908637,45
HILIC_101.070944979669_84.759203644256,RT_vs_Ice,0.16436646267185093,0.8701206878510267,0.9999999999999998,0.06015736508055572,46
HILIC_102.054944378965_77.7703186188898,RT_vs_Ice,1.451742000408195,0.15296395869622606,0.987967794131602,0.3385300648396676,47
C18_102.056066169871_22.7226744566593,RT_vs_Ice,1.9402466603871293,0.05813168827875177,0.9728307619644055,0.6049126697593148,48
HILIC_102.091326342836_55.1255367196625,RT_vs_Ice,1.1378060900531528,0.2607497138734763,0.9969365741869346,0.4476219636537595,49
HILIC_102.127716515679_94.4023629876109,RT_vs_Ice,-1.0792043507387281,0.2857949617516085,0.9969365741869346,-0.6939453287305734,50
C18_103.003715477395_18.2914003941751,RT_vs_Ice,0.4962431654107908,0.6219477859115008,0.9969365741869346,0.25993555371327876,51
HILIC_103.038932728251_60.0367902882659,RT_vs_Ice,0.3099820972937603,0.7578927515558687,0.9976445116039421,0.07993167848456623,52
C18_103.040090045889_28.0576391298246,RT_vs_Ice,0.6713946749784732,0.5051308327961996,0.9969365741869346,0.10776074249971973,53
HILIC_103.054184083176_49.1821458797801,RT_vs_Ice,-0.006416468372539835,0.9949065585239663,0.9999999999999998,-9.532038858482201e-4,54
HILIC_104.008125583666_270.975505180789,RT_vs_Ice,-1.0399951929293227,0.3034607820788292,0.9969365741869346,-0.2984156386541902,55
C18_104.035357996175_28.0461477355041,RT_vs_Ice,0.4224680741607504,0.6745366238796695,0.9969365741869346,0.07663095921176043,56
HILIC_104.070569221783_54.7384193228796,RT_vs_Ice,0.5975784525586364,0.5528806211289659,0.9969365741869346,0.2722697112036832,57
HILIC_104.992319723424_64.0513049135099,RT_vs_Ice,-0.4829499805490428,0.6312880323540906,0.9969365741869346,-0.5560333775356793,58
HILIC_105.069900666681_286.119958641775,RT_vs_Ice,3.3871966252602035,0.0014023608057765575,0.5645648791828134,1.076739023127531,59
HILIC_106.049875652409_83.2485660116225,RT_vs_Ice,-0.428276212711945,0.6703319355530097,0.9969365741869346,-0.09183312832663337,60
HILIC_106.068375124244_166.484219601047,RT_vs_Ice,0.5537991599897807,0.5822417612596091,0.9969365741869346,0.22692104671994298,61
HILIC_106.086246748333_50.8210591246551,RT_vs_Ice,-1.699082467804735,0.09566256529879698,0.9728307619644055,-1.5204611130616064,62
C18_107.050272026065_26.8572527880878,RT_vs_Ice,2.3125004822689013,0.025004574612322136,0.916441050453306,1.8120995904875532,63
HILIC_107.085470842481_28.5869347120405,RT_vs_Ice,0.9210811917447354,0.3615332648476334,0.9969365741869346,0.3699319073718646,64
HILIC_108.044386599189_294.372880722605,RT_vs_Ice,0.1103707192578882,0.9125674381368788,0.9999999999999998,0.038609984987304356,65
C18_108.045545636979_87.9768113778569,RT_vs_Ice,-0.9531436122915241,0.34520860265833975,0.9969365741869346,-0.28758585176841467,66
HILIC_108.080731306472_38.3179249794503,RT_vs_Ice,0.9357603672061022,0.35399830622919204,0.9969365741869346,0.6003120039762182,67
HILIC_109.028443723037_270.507947776158,RT_vs_Ice,0.17662043410388192,0.8605365470849302,0.9999999999999998,0.10404515064590604,68
C18_109.029532843221_90.061618937608,RT_vs_Ice,-1.402510487893296,0.1670843722693191,0.9911398709670876,-0.3790700323232506,69
