feature,contrast,F.score,p.value,FDR,Rank
HILIC_131.046922985977_83.3288788914244,Interaction,1.461370794179831,0.23661280609030322,1,218
HILIC_131.049162350536_49.1021880116262,Interaction,1.2373614624142004,0.3062845850499204,1,219
HILIC_131.070223853076_84.9439419164925,Interaction,1.3443771633123924,0.27085980237670676,1,220
HILIC_131.070337501066_285.166422334653,Interaction,0.3487416507386589,0.7902039130397325,1,221
C18_131.071364416372_26.7639475205243,Interaction,0.9856217643136482,0.40732702057517156,1,222
C18_131.071377784814_210.15097671336,Interaction,1.428529526291969,0.24578138604548808,1,223
C18_131.082615102635_24.2533844867437,Interaction,0.24496267531992702,0.8645140364072146,1,224
HILIC_131.085560174597_26.6975180467343,Interaction,0.5666866609768204,0.6395911868248391,1,225
HILIC_131.129174153245_100.119975697126,Interaction,0.021097770701249956,0.9957859479334394,1,226
C18_132.030232341338_22.9510930875489,Interaction,0.3586176374614273,0.7831225461174607,1,227
HILIC_132.065587427323_284.902129700213,Interaction,1.3607687287803598,0.26579033915598743,1,228
HILIC_132.076675493316_71.0940890588739,Interaction,0.25137545352207846,0.8599716576172662,1,229
HILIC_132.101904902612_50.9918315623802,Interaction,0.22218196543874252,0.8805284321064598,1,230
C18_133.01422266299_22.3004534324399,Interaction,0.946256196430842,0.42560562183132467,1,231
C18_133.032677634079_281.516658573997,Interaction,0.3296611389923931,0.8039074155289793,1,232
C18_133.042671167416_25.1346694245946,Interaction,1.0625935839041198,0.3735979436090828,1,233
C18_133.0517050208_19.8640582211743,Interaction,0.45831220353244934,0.7126585439293341,1,234
HILIC_133.060636078017_87.2743584107052,Interaction,2.1992087816519033,0.10002684949313874,1,235
HILIC_133.097180993823_213.272565363675,Interaction,0.5859160646090849,0.6271212570445968,1,236
HILIC_133.10119711597_280.197725062908,Interaction,1.568543274407869,0.2089383079085131,1,237
HILIC_133.982501211655_20.6950339160943,Interaction,0.37344360678072686,0.772514129207202,1,238
HILIC_134.044768738079_83.047914481824,Interaction,0.4038360495290938,0.7508824172722544,1,239
C18_134.04726610354_79.1998545466719,Interaction,1.1122142735540637,0.35321711127867245,1,240
HILIC_134.060061006558_284.109005222157,Interaction,0.32697729653465,0.8058363547580494,1,241
HILIC_135.002854791604_75.5845950141822,Interaction,0.9581450848027852,0.4200104339837528,1,242
HILIC_135.022190053878_75.0455014572316,Interaction,0.6843385505906128,0.5659167042813362,1,243
HILIC_135.044070826787_280.261828423796,Interaction,0.7780770724630577,0.5119009926814875,1,244
C18_135.045226753361_25.3595850154891,Interaction,0.7357584390809964,0.5357603434734598,1,245
HILIC_135.048146880917_82.9540763795732,Interaction,0.25962071949915594,0.8541134047992006,1,246
HILIC_135.080448528628_281.454647528884,Interaction,0.6734218038196887,0.5724822881304091,1,247
C18_135.081541620621_287.271513559037,Interaction,1.3177700380525093,0.2792854267490057,1,248
HILIC_136.039349858072_39.0119968172215,Interaction,1.254215349950752,0.30042908516435973,1,249
C18_136.040413687663_93.5070843431063,Interaction,0.20722835937055903,0.8909111036547908,1,250
C18_136.051733569294_27.8344901989265,Interaction,0.10899175931902377,0.954448173029036,1,251
HILIC_136.06185169062_291.616019847275,Interaction,0.02043859542434036,0.9959793728507397,1,252
HILIC_136.112237400055_222.320937865902,Interaction,0.368892058089489,0.7757676433600568,1,253
C18_137.02441240945_267.700883704151,Interaction,2.6941858591330683,0.05617078773443905,1,254
C18_137.024409239471_28.9328572899504,Interaction,1.174596661817875,0.3290452438560615,1,255
C18_137.035631721409_33.0797916075618,Interaction,0.7367782822822442,0.5351751392009101,1,256
HILIC_137.045786951672_46.0158689750741,Interaction,0.3644401687766564,0.7789528075417522,1,257
HILIC_137.05965927371_286.274957022496,Interaction,1.5121993581145141,0.2230708725555815,1,258
HILIC_137.132545971333_93.8573241818305,Interaction,0.38546948722585794,0.7639339407570924,1,259
HILIC_137.13250170533_20.0329212698984,Interaction,0.2885451712350855,0.8334433417871752,1,260
HILIC_137.132520465725_292.724255782227,Interaction,0.4509494098757782,0.7177753260262745,1,261
C18_137.996325164257_89.1993325031702,Interaction,0.3991812192200621,0.7541835815273248,1,262
C18_138.01967938671_287.185642772672,Interaction,0.2978325649122484,0.8267797510361751,1,263
HILIC_138.055046181088_296.479266992225,Interaction,0.6990442958099584,0.5571623151173521,1,264
C18_138.056069071942_292.142365349327,Interaction,0.3042317829349429,0.822184037165184,1,265
HILIC_138.091399812664_36.7166105761821,Interaction,3.298756783165331,0.027967884758733762,1,266
C18_138.970713522953_282.753721854398,Interaction,0.336457457425493,0.7990239004466206,1,267
C18_139.003718909438_289.876337745878,Interaction,1.4842899888666927,0.23041085988811377,1,268
C18_139.014951212442_285.247198808599,Interaction,1.2881206578912716,0.2889677261753979,1,269
C18_139.040128079172_291.710840613469,Interaction,0.7329698529579837,0.5373630557543787,1,270
HILIC_139.050171242006_41.3700239721925,Interaction,0.9253890791188587,0.4355843400196324,1,271
C18_139.051324407832_291.86168818518,Interaction,2.447014129408438,0.07489329295652884,1,272
HILIC_139.111769264676_94.8194746471648,Interaction,0.5047539216660428,0.6808021848040964,1,273
HILIC_139.11181073937_293.424799619997,Interaction,1.6939275910794769,0.18055365930777537,1,274
C18_140.001908816162_32.7242413235755,Interaction,1.185652582593364,0.32492471074189655,1,275
C18_140.011861597031_25.7747914728259,Interaction,0.09703477888654502,0.9613052558840312,1,276
C18_140.035407852872_91.0558736123108,Interaction,0.6020605893141405,0.616777346513975,1,277
HILIC_140.037429879845_61.3558985578867,Interaction,0.3312018938951352,0.8028001379836684,1,278
HILIC_140.107046450035_268.190625823055,Interaction,1.856697750679269,0.149302567418253,1,279
HILIC_140.985826801746_173.750984668221,Interaction,0.3169312925906554,0.8130575750283515,1,280
C18_140.986138039525_256.559367262019,Interaction,0.2462818135384812,0.8635807225837808,1,281
HILIC_140.994859845918_58.3851481624834,Interaction,0.32626949879364686,0.8063450951090276,1,282
C18_141.019381081718_286.15896153274,Interaction,1.6382327676014596,0.19266228107445538,1,283
C18_141.03063347063_287.032479862028,Interaction,0.4120883599662478,0.7450419848521722,1,284
C18_141.048023120193_61.0441638569951,Interaction,0.3722266118961228,0.7733837494438884,1,285
HILIC_141.09104625281_288.321179728726,Interaction,2.51927576092137,0.06884406713653526,1,286
HILIC_141.090966537866_28.7197892998119,Interaction,0.1539112253969512,0.9266777469651565,1,287
HILIC_141.113510963695_240.721355200396,Interaction,0.41288313881223926,0.7444803387176115,1,288
HILIC_141.12732177816_28.4092560326778,Interaction,0.8401791139532175,0.47845966938674755,1,289
C18_142.012145072534_36.347336992698,Interaction,0.7953394866519186,0.5024179788774841,1,290
HILIC_142.026436553896_115.001040389163,Interaction,0.6568222346087985,0.5825740181899652,1,291
HILIC_142.029697892999_117.254396693679,Interaction,0.40036861833028214,0.7533410398946644,1,292
HILIC_142.049928458224_86.3110304721128,Interaction,0.859556800802904,0.46840575742143165,1,293
HILIC_142.049971090917_283.693642138525,Interaction,0.8109972097129409,0.4939414396106355,1,294
HILIC_142.086277698626_94.0578711269233,Interaction,0.7092624403942186,0.551140513897397,1,295
HILIC_142.086297856688_294.326075790041,Interaction,1.2237618679610458,0.31108747039548884,1,296
HILIC_142.122707526241_30.7816440241964,Interaction,0.45698734339531455,0.7135780042267729,1,297
C18_143.007014860707_73.9727078099995,Interaction,0.2294269477425009,0.875458457079052,1,298
